orderId,oldCentre,newCentre
01HHY9AQ2KP6387ZCNPMMBJNVV,ACCRA,KINTAMPO
01HHYTPJDR90DYN0BAZX3TA0W5,ACCRA,KINTAMPO
01HHYPC27706T5PJC84BCV6NPP,KOFORIDUA,KINTAMPO
01GQMGX60YKTNA790SFWQXES24,BOLGATANGA,KINTAMPO
01HHYQ04Q1Y5A96WQ4EM1NDM24,BOLGATANGA,KINTAMPO
01HHYQ41KFGT0HYS7XK17143XM,ACCRA,KINTAMPO
01HHYQ9PAD3K70KHK8P9KWC34X,ACCRA,KINTAMPO
01GQMG1BYRKJ6PQHRHRR2ZHXRA,KOFORIDUA,KINTAMPO
01HHYQTKWRVS52N6FX2SQDYSYQ,TEMA,KINTAMPO
01HHYR36K957KQK8V8V3D8TN8X,KINTAMPO,KINTAMPO
01HHYS6N74QTKSMEV94S54SP82,ACCRA,KINTAMPO
01HHYTDYRRHWYMXY2Z2YM81KKR,TEMA,KINTAMPO
01HHYTRCWZVXPF4YB4E9PZ2ETZ,KOFORIDUA,KINTAMPO
01HHYBHFG6HDJGP2JAZ00KAKR3,ACCRA,KINTAMPO
01GQJGE1K949C0397F38SPFEYZ,TEMA,KINTAMPO
01HHYTWA4CZQSWD805Q9YDEJ5B,BOLGATANGA,KINTAMPO
01HHYV4VEY0MQ6Z12A4QM3NP9B,ACCRA,KINTAMPO
01HHYV5B4TRC85X1G7Y2YQYYFC,BOLGATANGA,KINTAMPO
01HHYVCAFTAXDMAH02KESJ3ZBF,ACCRA,KINTAMPO
01HHYVHSZ7QVJQ5T8RJ90F23CE,BOLGATANGA,KINTAMPO
01HHYW1GJF7MKPVKZJ411WZDP4,KOFORIDUA,KINTAMPO
01HHYWH8JB0JAMMJN1TYGD7FGQ,TEMA,KINTAMPO
01HHYWH9H7E7PJN9P5M21HJJ2K,ACCRA,KINTAMPO
01HJ0Q2Z4SA00DG0ZWBXAPTRYA,TEMA,KINTAMPO
01HHYP7PGXC8CFBQ3QBX31R63E,ACCRA,KINTAMPO
01HHYP54F27F5SBSGQF4GKQEVT,KOFORIDUA,KINTAMPO
01HHYNZBDWQPSM8TRVSAESK820,BOLGATANGA,KINTAMPO
01HHYNJHADSSKX368RCWHNPA4P,KOFORIDUA,KINTAMPO
01HHYC0Q2ARM68HSGA415X398Y,KOFORIDUA,KINTAMPO
01HHYC99ESZQ7HWRFECVE19PJQ,ACCRA,KINTAMPO
01GQMNF5585F8MHEHA6G0NWW4V,KOFORIDUA,KINTAMPO
01GQMND0HWK9BDNJZGHZQM43X5,KOFORIDUA,KINTAMPO
01GQMNA73MR7169CKYREW8RNR8,BOLGATANGA,KINTAMPO
01GQMN0QCE52WA59ZC7J973P12,TEMA,KINTAMPO
01GQMMYE288G8SVX1KPG321KX3,BOLGATANGA,KINTAMPO
01HHYGXX4DGT0MM4MCQZANTZZV,TEMA,KINTAMPO
01GQMMX9FREVW3NT27WHKKRQ9B,TEMA,KINTAMPO
01HHYHDC51FRNRMYR29QHSQ13C,KOFORIDUA,KINTAMPO
01HHYHESTYW3GWZ41J4723NXNY,KOFORIDUA,KINTAMPO
01GQMMNS8VARXZFYVN545V01YP,BOLGATANGA,KINTAMPO
01HHYHVNC29HESWBV8A1VCD28B,ACCRA,KINTAMPO
01HHYJFJ3AC6PCS2T5QKRF3JP4,ACCRA,KINTAMPO
01HHYJYBA8ZRC08K9ZF5ZR6YF0,ACCRA,KINTAMPO
01HHYK3FZPBSD7SNJSSPVVE6Z4,ACCRA,KINTAMPO
01HHYKAM6KSQYHVYJFD393DH1Z,ACCRA,KINTAMPO
01HHYKPACTTASKDKMS9P3QWN6P,ACCRA,KINTAMPO
01HHYKTYV45VBN1PH2V8D3KWGB,TEMA,KINTAMPO
01HHYMJ4M3NPSG7D69DE8WCR8Y,BOLGATANGA,KINTAMPO
01HHYMXNZ9ST90Q65805S8GV90,ACCRA,KINTAMPO
01HJ3TPTTTPS364QRQS9VR5NF3,KOFORIDUA,KINTAMPO
01HJ3TZ8AF02X9AWNE4N60XBDF,ACCRA,KINTAMPO
01HHPEJBQG7E8PEY8ZWZY2HFEC,TEMA,KINTAMPO
01HJNGCYRE12C4R4TC2EBVD2SH,ACCRA,KINTAMPO
01HJN9K9VJT9YKVMPAYCXEDB9M,KOFORIDUA,KINTAMPO
01HJNDE2XYCJT5Q1SSV9VEF3MH,ACCRA,KINTAMPO
01HJNE366BS0QMY60A3PX1F8KR,TEMA,KINTAMPO
01HJNETE121R35HYWE09Z058G2,TEMA,KINTAMPO
01HJNF26WVYGSHY4VZ01DE09FE,KOFORIDUA,KINTAMPO
01GQFPK35WPHFZG8N8QCXP4037,TEMA,KINTAMPO
01HJNF4CBT6ERX4HTAB053NGAT,TEMA,KINTAMPO
01GQFPEK8RYNHMM5JEB15E5XTP,KINTAMPO,KINTAMPO
01GQFPDRJEWB7C92SZRYNJ8FD2,KINTAMPO,KINTAMPO
01HJNGA0NN4SK7T80TBX29G93K,BOLGATANGA,KINTAMPO
01HJNGMWWZN9J572AXFRPBGYSW,BOLGATANGA,KINTAMPO
01HJ96HJ546PCCMFW13NDGRJVJ,TEMA,KINTAMPO
01HJNGX3WSJ86YV93V1S0KEJK4,KOFORIDUA,KINTAMPO
01HJNH9NN0CPRA6WDEPPDWQTQ9,KOFORIDUA,KINTAMPO
01HJNHZ0C94B7ZVRJC1DR4FZZD,TEMA,KINTAMPO
01GQFP578EQZRP206VN8HX8QHP,TEMA,KINTAMPO
01HJNJ061WS3MYSZG0AYVJCH86,KOFORIDUA,KINTAMPO
01HJNJF042NBR3656ZKEKDP2G9,TEMA,KINTAMPO
01HJNK2NZGQ0XJXA4GRA2WDP70,TEMA,KINTAMPO
01GQFNX64GC43WZTQBKTT6HAY7,TEMA,KINTAMPO
01HJNKN19NF55PF7Z79JDHY3VT,ACCRA,KINTAMPO
01HJNNF6815N311EA9NKNVDGCG,BOLGATANGA,KINTAMPO
01HJ96W27V8ZP33DBS94B84K58,ACCRA,KINTAMPO
01HJ95C9NEMTNDE0WKZQDNZAX8,ACCRA,KINTAMPO
01HJNNF898D5PBM53NDJWMRX1C,ACCRA,KINTAMPO
01HJ8ZQP3DZ92PPDWAZK22229Y,ACCRA,KINTAMPO
01HJ8XA31KAYYYKTDFZANSKDX7,TEMA,KINTAMPO
01HJ8XCAQ89T8EMZNQJG5X5XES,ACCRA,KINTAMPO
01HJ8XTYNAT43DX2WBPZABCH7S,BOLGATANGA,KINTAMPO
01GQFS0B95HEJ3AA45W9EEM9QZ,BOLGATANGA,KINTAMPO
01HJ8YGAE161EY802DVYADF425,TEMA,KINTAMPO
01HJ8YJCKSVYTT2C6P298WTTZW,ACCRA,KINTAMPO
01HJ8YK6KGTZ5X4DKBB9M2RYC9,ACCRA,KINTAMPO
01HJ8Z01M5JJQAXGK6673ZKSE0,KOFORIDUA,KINTAMPO
01GQFRK8MNP7ANNRQBG7DPSXFM,BOLGATANGA,KINTAMPO
01HJ8Z5Y99RB8ANGRXHY9786VJ,KOFORIDUA,KINTAMPO
01HJ901JRDY001X7T3Y46PPZ8A,KOFORIDUA,KINTAMPO
01HJ94KS7S0AG8142H50TN77PF,KOFORIDUA,KINTAMPO
01HJ90KQCPZEBEEYTGM7GBC16G,ACCRA,KINTAMPO
01HJ91ARFGHYKJSZG9F62GS2YP,ACCRA,KINTAMPO
01HJ91HR5034QGYVT0EJ0X8HKQ,KOFORIDUA,KINTAMPO
01HJ925K9JWXH6TWRKRKVCND4C,ACCRA,KINTAMPO
01GQFQJFFZ78FVWSFGZR5EW4Q5,BOLGATANGA,KINTAMPO
01HJ934W7D3Q3NWH4G18RWPXPX,KINTAMPO,KINTAMPO
01HJ93AF3PKJQ201NCHKX8SQQ7,KINTAMPO,KINTAMPO
01HJ946AWMA477AR7FCPNBBVC1,KOFORIDUA,KINTAMPO
01HJ947ZX2HA761B7XAK2NDKJN,KOFORIDUA,KINTAMPO
01HJ94AC4YMTCBA0S7361XZRSM,ACCRA,KINTAMPO
01GQFN85KEFCPVB447J3B25V0M,KINTAMPO,KINTAMPO
01HJNNQ6K37JV6F2QG7NKAPVFK,ACCRA,KINTAMPO
01HJ3V1FF9BA1VRV2EF4S3JEZ8,KOFORIDUA,KINTAMPO
01HJR3HX3FWC898AG41TANKXR3,ACCRA,KINTAMPO
01HJNZ26B1B2Z9KPAPV1RXN1NK,KOFORIDUA,KINTAMPO
01HJNZH82HCM7BQFCVWJ31ZSR6,TEMA,KINTAMPO
01HJNZQS73AEWRXD8AS5WAAPB7,ACCRA,KINTAMPO
01HJP1XJCF4PR4BX48C0MHP5E2,TEMA,KINTAMPO
01GQFG83GV4910Y2ZVY8BKTGM6,TEMA,KINTAMPO
01HJQZ6B53M6VVC8YVYFM8DVEY,ACCRA,KINTAMPO
01HJQZC5CW3E1FZ7F9TJM5TK4Y,ACCRA,KINTAMPO
01HJQZX38MWG5ZYYJMVX6E1AQR,TEMA,KINTAMPO
01HJR10SBCSN5X8FP126Y7WTBK,ACCRA,KINTAMPO
01HJR38RPHP4GFJ5DR44BFP4N7,BOLGATANGA,KINTAMPO
01HJR4H5PMB19X8MY2J6DSVKGM,ACCRA,KINTAMPO
01HJNXZ89M5EH8G0S6PZMWFX3A,ACCRA,KINTAMPO
01HJR4QX71XA6F79E8EH1DJHRZ,KOFORIDUA,KINTAMPO
01HJR4VVDH71F1MDYZTZDV5CZK,ACCRA,KINTAMPO
01HJR52XA21TZ129ATGSM1GPM0,ACCRA,KINTAMPO
01GQFEJWKC661MCYQ3P9ZVVCRN,BOLGATANGA,KINTAMPO
01HJR5RYG77Z8RP8DW05KVR7GA,ACCRA,KINTAMPO
01HJR6N46FEXSHSDRFA284G414,TEMA,KINTAMPO
01HJR730ZRSA7WD6ZNW4XPFFAQ,TEMA,KINTAMPO
01HJR7FRKYJWRHJ7NXJEGGHK3Z,BOLGATANGA,KINTAMPO
01HJR7G2BVQ90B6EBWZ73A34BR,ACCRA,KINTAMPO
01HJR7P7Q2DA17DDBC6S1X6BV9,KOFORIDUA,KINTAMPO
01GQFGNZ4SCCBBGGW11E18RQK6,TEMA,KINTAMPO
01HJNXRB9E34D7T1H0CJKVZ4YX,BOLGATANGA,KINTAMPO
01HJNNYM81PV0B6AE6CBKVZB9Y,ACCRA,KINTAMPO
01GQFJSASWVTS1Q8JM0NV3TRNM,BOLGATANGA,KINTAMPO
01HJNQ4D74JAWP0194TK2XJQN5,ACCRA,KINTAMPO
01HJNQC4PMRN7KHQG5VB1EM8B4,KOFORIDUA,KINTAMPO
01HJNQHDAP2NX3QYPPAWBNT6CP,ACCRA,KINTAMPO
01HJNQYPP7EVAH06EZTK385PBP,TEMA,KINTAMPO
01HJNR39VNN9EW50MHYN660VYA,ACCRA,KINTAMPO
01HJNRTDGHV46T1DG59GR147WM,ACCRA,KINTAMPO
01HJNSKKZD2VB9SWD4W5T4XQCX,KINTAMPO,KINTAMPO
01HJNSPYAD41K9MFF42BXPDVPZ,ACCRA,KINTAMPO
01HJNST4W5CX4CTRMJG8HG3QRB,ACCRA,KINTAMPO
01HJNSX2KV9CQNAKMN6FWETBZW,ACCRA,KINTAMPO
01HJNTZ5K7HDX5347DF5D9TVMT,ACCRA,KINTAMPO
01HJNWZ5GAHEW920ASBEG4567J,BOLGATANGA,KINTAMPO
01HJNVSP38YVT8JX7YPGGVWM40,KOFORIDUA,KINTAMPO
01HJNVVSVX3QFWDBC562SQH91Q,ACCRA,KINTAMPO
01GQFHBNMZNZFSCPKW9MRWR3RZ,KOFORIDUA,KINTAMPO
01HJNVZ9HSPDK2Y2AP7Q1JN577,TEMA,KINTAMPO
01HJNW57NYNE8GCB0B5Y2KZ4D2,TEMA,KINTAMPO
01HJNW655BHFGHF70HRN82PHXP,KOFORIDUA,KINTAMPO
01HJNW8JA0PBGHQ0MXRRPRSSZJ,ACCRA,KINTAMPO
01HJNWB3QK337CEGRFC48XSDDB,ACCRA,KINTAMPO
01HJNWC6KZA245YJEF5YF2J78P,ACCRA,KINTAMPO
01HJNWG3KRVMFK2TMZP83RM1XN,BOLGATANGA,KINTAMPO
01HJ8WT2NH2X3V9C324HGWRHDP,ACCRA,KINTAMPO
01HJ8WK4EB7YQKDY8KVPMYQ74F,ACCRA,KINTAMPO
01HJ8W54XD4SFXFDNTMKQ2QZCR,ACCRA,KINTAMPO
01HJ69Y2PKJ34T8M86J0SZT3NH,ACCRA,KINTAMPO
01GQHXX38XZRGEJY6FX3APV53K,BOLGATANGA,KINTAMPO
01GQHXWH5D9RDQH8FXFCHFY5Y0,BOLGATANGA,KINTAMPO
01HJ66HJZSCM3VSCE7NFM305P2,ACCRA,KINTAMPO
01HJ671GJSBQGVK9NFZDMZS09B,ACCRA,KINTAMPO
01HJ67383X0RHT1V1NJMJJBM4A,KOFORIDUA,KINTAMPO
01GQHWZHWHHW0A58F8Q8FDH7HW,BOLGATANGA,KINTAMPO
01HJ690T9FGC5MXD9BGBK493M6,ACCRA,KINTAMPO
